"Operator","Pics.Batch","Sample","ImageTitle","Status","CellLine","Day","Treatment","Volume","ESR","SurfaceArea","Flatness","Elongation","Sphericity","IntensityRHF","VolumeRHF","NbCc","VCcMean","VCcTotal","DistanceBorderToBorderMean","DistanceBarycenterToBorderMean","AspectRatio","Circularity","VoxelVolume","MinIntensityNuc","MaxIntensityNuc","AvgIntensityNuc","StdIntensityNuc"
"SA","1","102_CS_63x_tile_z1","16_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","773.5","5.69452149016319","809.159999999639","3.30188135943561","1.42740238389096","0.127723200430637","0.0823531568967997","0.0365869424692954","49","0.577551020408163","28.3","0.591733272221623","1.51591301937492","1.40792743467739","0.754271759197239","0.005","1","69","11.2810536522301","7.46658871987998"
"SA","1","102_CS_63x_tile_z1","17_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","981.505","6.16502207032221","949.219999999524","2.72479356327414","1.5544012930236","0.127390418848498","0.089437315759788","0.0360517776272153","59","0.599745762711864","35.385","0.774774839110294","1.55390141454793","1.54271350057195","0.713198913832004","0.005","0","80","15.3180269076571","11.3255149703673"
"SA","1","102_CS_63x_tile_z1","18_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","591.39","5.20709045922407","671.219999999773","2.62988723285242","1.07186392954724","0.130799372749694","0.111358617066943","0.0425015641116691","50","0.502699999999999","25.1349999999999","0.528250695466995","1.25691691875457","1.0741582719686","0.754745442034853","0.005","0","77","11.97477130151","8.07092762024194"
"SA","1","102_CS_63x_tile_z1","20_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","658.29","5.39646729652644","652.439999999835","2.1826873530277","1.36375447159938","0.176467670192712","0.125451583444937","0.0514894651293502","52","0.651826923076923","33.895","0.831694876689177","1.62500842626278","1.34379861678538","0.769023620192269","0.005","0","72","13.049879232557","11.0429826283927"
"SA","1","102_CS_63x_tile_z1","21_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","635.185","5.33257789533505","672.079999999791","2.48373895617541","1.49791123327536","0.150310709774922","0.0736190609148866","0.0288813495280902","33","0.55590909090909","18.345","0.763181215344053","1.63743139035773","1.49214463286665","0.698199217075506","0.005","0","79","14.3782126467092","11.3585676161336"
"SA","1","102_CS_63x_tile_z1","22_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","673.63","5.43806344700517","700.219999999753","3.05176198776664","1.29810842392908","0.14948295704822","0.0326546206646253","0.0135905467393079","17","0.538529411764705","9.155","0.643773271055782","1.36246275901794","1.27363802371408","0.809900854580244","0.005","0","88","13.5797247747279","10.3577933600607"
"SA","1","102_CS_63x_tile_z1","24_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","585.27","5.18906628083363","660.279999999816","2.04637353464034","1.88327842007613","0.134579984055614","0.0875880677107671","0.0345737864575324","32","0.63234375","20.235","0.71167283244431","1.5513373479247","1.83837559116235","0.644273143871981","0.005","1","92","14.168887863721","10.9270549624096"
"SA","1","102_CS_63x_tile_z1","25_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","688.405","5.47753467590996","704.819999999761","2.96572778114389","1.12042429175664","0.153075521648837","0.0539227387465956","0.0188914955585738","26","0.500192307692307","13.005","0.806259802671579","1.48073776135077","1.11665158790794","0.809018035126606","0.005","0","74","11.5928632127889","9.36619001015877"
"SA","1","102_CS_63x_tile_z1","26_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","813.57","5.79120278094767","825.679999999663","2.60441408895841","1.4257023243752","0.13298630823383","0.0544645570418618","0.0180685128507688","29","0.506896551724138","14.7","1.00781843744475","1.92890898277019","1.41011671785523","0.693780446273841","0.005","0","90","12.8623474316899","11.418935782741"
"SA","1","102_CS_63x_tile_z1","27_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","811.785","5.7869643149609","846.25999999965","2.47182007472627","1.50920623314161","0.122976740252894","0.0633714877876632","0.0180220132177855","23","0.636086956521739","14.63","1.02333134153614","1.80491129833719","1.48919284645577","0.668060969646117","0.005","0","105","13.0462191343767","11.6803728210586"
